video;views;likes;comentarios;publicacao;link_video;categoria;horas-publicacao;views/hour
Los Angeles Lakers x Miami Heat | AO VIVO COM IMAGENS!;656498;64951;34;2023-11-07 03:09:15+00:00;https://www.youtube.com/watch?v=3uM5_hRwU78;Sports;13.0;50499.85
MEU NOIVADO e CASAMENTO… DEUS NÃO UNE PESSOAS… ELE UNE PROPÓSITOS! ❤️ Fran Adorno;318457;41702;11651;2023-11-06 20:43:48+00:00;https://www.youtube.com/watch?v=XhLqSF_KZA8;Entertainment;19.0;16760.89
NOVEMBRO AZUL SINCERO;850865;116628;6451;2023-11-06 14:00:28+00:00;https://www.youtube.com/watch?v=iMmUh1BzxSs;Entertainment;26.0;32725.58
"Character Demo - ""Furina: All the World's a Stage"" | Genshin Impact";1387071;199818;9659;2023-11-07 04:00:04+00:00;https://www.youtube.com/watch?v=EN79SfbcvIE;Gaming;12.0;115589.25
Pomni e Jax RESPONDEM no The Amazing Digital Circus VR;183775;12398;1028;2023-11-06 20:40:00+00:00;https://www.youtube.com/watch?v=p0N_Xc9fQzo;Gaming;19.0;9672.37
Jung Kook: Standing Next to You | The Tonight Show Starring Jimmy Fallon;1481473;288162;12769;2023-11-07 05:28:44+00:00;https://www.youtube.com/watch?v=6QzMbiPgYOg;Comedy;11.0;134679.36
Jax e Pomni Respodem no The Amazing Digital Circus VR !;208763;10607;1187;2023-11-06 20:40:00+00:00;https://www.youtube.com/watch?v=_QnjC3xXqA0;Entertainment;19.0;10987.53
The Marvels | Final Trailer | In Theaters Friday;1498886;56961;6328;2023-11-07 02:54:14+00:00;https://www.youtube.com/watch?v=uwmDH12MAA4;Entertainment;13.0;115298.92
VASCO 1 X 0 BOTAFOGO | MELHORES MOMENTOS | 32ª RODADA BRASILEIRÃO 2023 | ge.globo;1006368;31946;3924;2023-11-07 00:04:40+00:00;https://www.youtube.com/watch?v=zkR2h6Z3F-8;Sports;16.0;62898.0
Ludmilla canta o Hino Nacional no GP de São Paulo de Fórmula 1;635468;7141;8766;2023-11-05 17:22:42+00:00;https://www.youtube.com/watch?v=n4dnaeRgiEA;Sports;47.0;13520.6
Tottenham Hotspur v. Chelsea | PREMIER LEAGUE HIGHLIGHTS | 11/6/2023 | NBC Sports;877114;12504;2203;2023-11-06 22:49:32+00:00;https://www.youtube.com/watch?v=YdzP7UPUoW8;Sports;18.0;48728.56
Scooby-Doo VS Courage the Cowardly Dog | DEATH BATTLE!;927180;68447;8779;2023-11-06 18:00:11+00:00;https://www.youtube.com/watch?v=PbEtoNTsRI0;Entertainment;23.0;40312.17
The Marvels | Final Trailer | In Theaters Friday;1529855;58131;6480;2023-11-07 02:54:14+00:00;https://www.youtube.com/watch?v=uwmDH12MAA4;Entertainment;14.0;109275.36
"BTS' Jung Kook Talks New Single Going Platinum and Teaches Jimmy His ""Standing Next to You"" Dance";1920157;262810;7476;2023-11-07 05:02:09+00:00;https://www.youtube.com/watch?v=yY5wZemtXHI;Comedy;12.0;160013.08
Jung Kook: Standing Next to You | The Tonight Show Starring Jimmy Fallon;1529424;295845;13038;2023-11-07 05:28:44+00:00;https://www.youtube.com/watch?v=6QzMbiPgYOg;Comedy;11.0;139038.55
New $20 Million Dollar Barstool Content Factory Unveiled;278957;6338;567;2023-11-06 16:00:09+00:00;https://www.youtube.com/watch?v=p5AQFgSRUAY;Entertainment;25.0;11158.28
"Character Demo - ""Furina: All the World's a Stage"" | Genshin Impact";1411883;205112;9866;2023-11-07 04:00:04+00:00;https://www.youtube.com/watch?v=EN79SfbcvIE;Gaming;13.0;108606.38
Colorado vs. LSU: 2023 Hall of Fame Series women's basketball highlights;112064;1245;525;2023-11-07 03:20:15+00:00;https://www.youtube.com/watch?v=o5SYw2mhLZI;Sports;13.0;8620.31
Film Theory: The Amazing Digital Circus is LYING To You!;1999379;129162;11412;2023-11-05 19:06:09+00:00;https://www.youtube.com/watch?v=FYF7l-lim10;Film & Animation;45.0;44430.64
😱 Astronauts eat THIS!?;295849;20934;782;2023-11-06 18:00:34+00:00;https://www.youtube.com/watch?v=rAt9roLG9_E;Comedy;23.0;12863.0
